District_name,Transaction_count,Transaction_amount,Quater,Year,State
anantapur,30366444,70291248155.64975,3,2021,andhra-pradesh
kurnool,26377809,62527453761.59807,3,2021,andhra-pradesh
west godavari,26245039,66647238455.1675,3,2021,andhra-pradesh
prakasam,24116580,63367713446.928055,3,2021,andhra-pradesh
visakhapatnam,82711538,159530099772.73474,4,2021,andhra-pradesh
krishna,55489829,125015323207.89836,4,2021,andhra-pradesh
chittoor,51119640,103985734663.73514,4,2021,andhra-pradesh
guntur,50919286,115553993673.17336,4,2021,andhra-pradesh
east godavari,48992531,106725597026.00357,4,2021,andhra-pradesh
spsr nellore,41921081,92256405076.26547,4,2021,andhra-pradesh
anantapur,36129136,81239787006.64764,4,2021,andhra-pradesh
west godavari,33235175,81292461575.08183,4,2021,andhra-pradesh
kurnool,31782248,73968947669.64754,4,2021,andhra-pradesh
prakasam,27858275,71323060008.47623,4,2021,andhra-pradesh
visakhapatnam,88233362,170120350591.26004,1,2022,andhra-pradesh
krishna,61826199,139690081529.49048,1,2022,andhra-pradesh
chittoor,58561024,117900595508.63399,1,2022,andhra-pradesh
guntur,57226996,129673727687.08943,1,2022,andhra-pradesh
east godavari,54738830,121067103712.79568,1,2022,andhra-pradesh
spsr nellore,47645702,104895571602.13988,1,2022,andhra-pradesh
anantapur,40613148,90197023268.43825,1,2022,andhra-pradesh
west godavari,37271259,92397939903.60936,1,2022,andhra-pradesh
kurnool,35093633,81568420500.54747,1,2022,andhra-pradesh
prakasam,31340975,79494373254.71565,1,2022,andhra-pradesh
visakhapatnam,101387402,193242841582.14282,2,2022,andhra-pradesh
krishna,73525814,163997729295.93127,2,2022,andhra-pradesh
chittoor,67507661,136435445124.75615,2,2022,andhra-pradesh
guntur,66315749,147098141568.76227,2,2022,andhra-pradesh
east godavari,62072845,135531452997.6391,2,2022,andhra-pradesh
spsr nellore,54838708,121941082043.49483,2,2022,andhra-pradesh
anantapur,46099366,102138758015.76915,2,2022,andhra-pradesh
west godavari,44409239,107973244960.42824,2,2022,andhra-pradesh
kurnool,40165692,92409350855.502,2,2022,andhra-pradesh
prakasam,36163507,90435082545.97768,2,2022,andhra-pradesh
visakhapatnam,97434546,181124419863.61444,3,2022,andhra-pradesh
krishna,71051144,153770559025.69122,3,2022,andhra-pradesh
chittoor,65751781,133053581631.63948,3,2022,andhra-pradesh
guntur,65612317,141588522953.23773,3,2022,andhra-pradesh
east godavari,61467134,129677722169.74829,3,2022,andhra-pradesh
anantapur,45165363,97735649608.10074,3,2022,andhra-pradesh
west godavari,43635951,101706854744.31876,3,2022,andhra-pradesh
spsr nellore,42116582,95099325968.25974,3,2022,andhra-pradesh
