District_name,Reg_users,Pincodes,Reg_users_pin,Quater,Year,State
prakasam,189949,524002,23439,1,2018,andhra-pradesh
prakasam,253458,517501,53468,2,2018,andhra-pradesh
prakasam,253458,517507,45241,2,2018,andhra-pradesh
prakasam,253458,530016,43386,2,2018,andhra-pradesh
prakasam,253458,515001,42466,2,2018,andhra-pradesh
prakasam,253458,516001,38402,2,2018,andhra-pradesh
prakasam,253458,518002,37593,2,2018,andhra-pradesh
prakasam,253458,516360,34544,2,2018,andhra-pradesh
prakasam,253458,530026,34126,2,2018,andhra-pradesh
prakasam,253458,520010,31871,2,2018,andhra-pradesh
prakasam,253458,524002,31134,2,2018,andhra-pradesh
prakasam,314899,517501,65157,3,2018,andhra-pradesh
prakasam,314899,517507,54849,3,2018,andhra-pradesh
prakasam,314899,530016,52259,3,2018,andhra-pradesh
prakasam,314899,515001,51449,3,2018,andhra-pradesh
prakasam,314899,516001,46691,3,2018,andhra-pradesh
prakasam,314899,518002,45145,3,2018,andhra-pradesh
prakasam,314899,516360,41963,3,2018,andhra-pradesh
prakasam,314899,530026,40580,3,2018,andhra-pradesh
prakasam,314899,520010,38918,3,2018,andhra-pradesh
prakasam,314899,524002,37559,3,2018,andhra-pradesh
prakasam,394962,517501,82873,4,2018,andhra-pradesh
prakasam,394962,517507,70421,4,2018,andhra-pradesh
prakasam,394962,530016,65549,4,2018,andhra-pradesh
prakasam,394962,515001,63576,4,2018,andhra-pradesh
prakasam,394962,516001,58028,4,2018,andhra-pradesh
prakasam,394962,518002,55735,4,2018,andhra-pradesh
prakasam,394962,516360,52058,4,2018,andhra-pradesh
prakasam,394962,530026,51900,4,2018,andhra-pradesh
prakasam,394962,520010,48991,4,2018,andhra-pradesh
prakasam,394962,524002,46616,4,2018,andhra-pradesh
prakasam,474260,517501,100561,1,2019,andhra-pradesh
prakasam,474260,517507,85980,1,2019,andhra-pradesh
prakasam,474260,530016,77790,1,2019,andhra-pradesh
prakasam,474260,515001,75171,1,2019,andhra-pradesh
prakasam,474260,516001,68514,1,2019,andhra-pradesh
prakasam,474260,518002,66689,1,2019,andhra-pradesh
prakasam,474260,530026,61623,1,2019,andhra-pradesh
prakasam,474260,516360,60798,1,2019,andhra-pradesh
prakasam,474260,520010,59055,1,2019,andhra-pradesh
prakasam,474260,524002,55931,1,2019,andhra-pradesh
prakasam,539462,517501,113033,2,2019,andhra-pradesh
prakasam,539462,517507,97534,2,2019,andhra-pradesh
prakasam,539462,530016,87556,2,2019,andhra-pradesh
prakasam,539462,515001,84157,2,2019,andhra-pradesh
prakasam,539462,516001,76617,2,2019,andhra-pradesh
prakasam,539462,518002,75952,2,2019,andhra-pradesh
prakasam,539462,530026,68283,2,2019,andhra-pradesh
prakasam,539462,516360,66885,2,2019,andhra-pradesh
prakasam,539462,520010,66082,2,2019,andhra-pradesh
prakasam,539462,524002,62933,2,2019,andhra-pradesh
prakasam,598568,517501,124727,3,2019,andhra-pradesh
prakasam,598568,517507,108199,3,2019,andhra-pradesh
prakasam,598568,530016,97323,3,2019,andhra-pradesh
